bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,city,statezip,year,month,Actual_Price,Predicted_Price
3.0,1.0,1370,3000,1.5,0,0,3,1370,0,1924,2011,Seattle,WA 98103,2014,5,479000.0,502077.84222222003
4.0,2.25,2000,3672,2.0,0,0,5,1650,350,1926,0,Seattle,WA 98117,2014,6,402000.0,669027.11
3.0,1.5,1060,9039,1.0,0,0,3,1060,0,1973,2013,Renton,WA 98058,2014,5,255000.0,235542.9175
4.0,3.0,3150,7778,2.0,0,0,3,3150,0,2000,0,Sammamish,WA 98075,2014,6,700000.0,728361.9562069001
3.0,2.5,2400,6975,2.0,0,0,3,2400,0,1993,0,Newcastle,WA 98056,2014,6,570000.0,524762.4
4.0,2.5,2700,6515,2.0,0,0,3,2700,0,1998,2006,Renton,WA 98058,2014,7,426500.0,425737.58111112
3.0,2.0,1440,4421,1.0,0,0,3,1440,0,2007,0,Redmond,WA 98053,2014,5,413800.0,439820.4
3.0,2.5,2360,4638,2.0,0,3,3,2360,0,1996,0,Seattle,WA 98115,2014,5,580050.0,726396.77857143
3.0,2.25,2675,40910,2.0,0,0,3,2675,0,1984,0,Sammamish,WA 98075,2014,5,660000.0,647548.9188852899
3.0,2.5,2140,8925,2.0,0,0,3,2140,0,1991,0,Sammamish,WA 98074,2014,6,640000.0,551894.14
5.0,1.75,2320,8100,1.0,0,0,4,1160,1160,1956,0,Burien,WA 98166,2014,5,315000.0,400756.02
4.0,1.75,2350,11914,1.0,0,0,4,2350,0,1961,2001,Mercer Island,WA 98040,2014,5,850000.0,815667.0
2.0,1.0,910,7000,1.0,0,0,3,910,0,1952,2008,Seattle,WA 98115,2014,5,389000.0,333858.20916667
4.0,2.5,2650,30500,1.0,0,0,4,1680,970,1960,2001,Issaquah,WA 98029,2014,6,715000.0,556230.7
3.0,1.0,1250,15603,1.0,0,0,4,1250,0,1959,0,Renton,WA 98056,2014,6,235000.0,262789.46153845004
4.0,2.75,3150,67518,1.0,0,0,4,2250,900,1965,0,Auburn,WA 98092,2014,5,370000.0,505788.33333333
4.0,2.5,2070,5415,2.0,0,0,3,2070,0,1996,0,Issaquah,WA 98029,2014,6,578000.0,548152.36
2.0,1.0,1030,4841,1.0,0,0,3,920,110,1939,1969,Seattle,WA 98103,2014,5,535000.0,477277.8575
3.0,2.0,2050,9000,1.0,0,0,4,2050,0,1951,1999,Mercer Island,WA 98040,2014,6,713250.0,757876.0
3.0,1.0,1270,6405,1.5,0,0,3,1270,0,1944,0,Seattle,WA 98178,2014,6,153000.0,344933.06071429
3.0,1.0,1320,7341,1.0,0,0,3,1320,0,1982,0,Shoreline,WA 98155,2014,6,370000.0,296478.13055556
4.0,1.75,2080,7200,1.0,0,0,4,1050,1030,1966,0,Auburn,WA 98001,2014,7,198000.0,259587.37555556998
3.0,2.5,1180,1262,3.0,0,0,3,1180,0,2010,0,Seattle,WA 98119,2014,6,472000.0,480830.47
3.0,1.75,1620,3975,1.0,0,0,5,940,680,1926,0,Seattle,WA 98117,2014,5,641000.0,554037.47384616
3.0,2.5,2000,9202,2.0,0,0,4,2000,0,1992,0,Maple Valley,WA 98038,2014,5,225000.0,313918.61571429
4.0,2.5,2590,8483,2.0,0,0,3,2590,0,1991,0,Bothell,WA 98011,2014,7,368112.5,525081.86111112
4.0,1.0,1530,7200,1.5,0,0,3,1400,130,1948,1994,Seattle,WA 98178,2014,5,135333.333333,321701.45
3.0,2.0,2050,3933,1.0,0,0,3,1180,870,1926,2001,Seattle,WA 98112,2014,5,724800.0,604974.56666666
2.0,2.5,1480,1369,3.0,0,0,3,1480,0,2009,0,Redmond,WA 98052,2014,5,420000.0,448116.44761905
4.0,2.5,4150,8436,2.0,0,0,3,4150,0,2014,0,Sammamish,WA 98075,2014,6,969990.0,824805.77
4.0,2.5,2260,3713,2.0,0,0,3,2260,0,2003,0,Kirkland,WA 98034,2014,6,560000.0,569749.50666667
3.0,2.25,2030,9791,1.0,0,0,4,1500,530,1984,0,Newcastle,WA 98059,2014,5,572500.0,389882.19761904003
2.0,1.75,1350,6315,1.0,0,0,3,1350,0,2005,0,Redmond,WA 98053,2014,5,429000.0,401354.0
4.0,2.25,1995,7102,2.0,0,0,4,1995,0,1981,0,Federal Way,WA 98023,2014,7,266000.0,279931.49999995006
4.0,2.75,2620,13777,1.5,0,2,4,1720,900,1926,1993,Seattle,WA 98144,2014,5,978000.0,772868.54
4.0,2.25,1960,8680,1.0,0,0,4,1290,670,1959,0,Bellevue,WA 98004,2014,5,723000.0,774566.0
4.0,2.0,2280,6010,1.0,0,0,3,1140,1140,1900,2005,Seattle,WA 98122,2014,5,628000.0,549074.34428571
3.0,2.0,1463,868,3.0,0,0,3,1463,0,2003,0,Seattle,WA 98115,2014,6,390000.0,418451.98666667
3.0,1.0,940,10368,1.0,0,0,3,940,0,1965,1993,Redmond,WA 98052,2014,6,354000.0,333804.0
3.0,1.5,1340,10224,1.0,0,0,4,1340,0,1956,0,Bellevue,WA 98006,2014,5,417000.0,478189.5
3.0,1.5,1760,6723,1.0,0,0,3,1160,600,1958,2004,Seattle,WA 98118,2014,6,470000.0,435043.5
3.0,2.0,1410,7566,1.0,0,0,3,1410,0,1985,0,Kent,WA 98030,2014,5,239900.0,246289.04285714
3.0,2.0,2390,6888,2.0,0,1,5,2390,0,1939,0,Seattle,WA 98115,2014,5,1100000.0,747524.69857143
4.0,2.25,2810,23400,1.0,0,1,3,1710,1100,1958,2004,Des Moines,WA 98198,2014,5,407000.0,519877.94642858
2.0,1.0,770,4000,1.0,0,0,5,770,0,1924,1956,Seattle,WA 98117,2014,5,413500.0,345646.12464388
3.0,1.0,1500,4000,1.0,0,0,3,900,600,1925,2002,Seattle,WA 98117,2014,6,395000.0,501178.39888889
3.0,2.5,2620,51354,2.0,0,0,3,2620,0,1998,2006,Woodinville,WA 98077,2014,7,695000.0,591132.13
3.0,1.5,1810,29308,1.0,0,0,3,950,860,1983,2009,Covington,WA 98042,2014,6,261000.0,268110.5
3.0,2.75,2500,7378,1.0,0,0,5,1390,1110,1948,1985,Seattle,WA 98177,2014,6,700000.0,693526.27142855
3.0,2.5,1850,7777,2.0,0,0,5,1850,0,1989,0,Kirkland,WA 98033,2014,6,623000.0,583755.0
3.0,1.75,1640,10695,1.0,0,2,3,1640,0,1975,0,Kirkland,WA 98034,2014,6,505000.0,459857.85
3.0,2.0,1670,7757,1.0,0,0,3,1670,0,1992,0,Kent,WA 98030,2014,6,289950.0,237727.05619045004
2.0,1.5,1130,746,2.0,0,0,3,1030,100,2009,0,Seattle,WA 98107,2014,7,536000.0,430166.5
3.0,2.0,1800,12669,1.0,0,0,3,1800,0,1956,1990,Kirkland,WA 98033,2014,6,470000.0,532152.0
4.0,2.5,3140,9225,1.0,0,2,5,1770,1370,1966,0,Renton,WA 98057,2014,6,578000.0,518880.75555556
2.0,2.5,1150,1027,3.0,0,0,3,1150,0,2008,0,Seattle,WA 98103,2014,5,425000.0,439128.5
2.0,2.5,2160,5581,1.0,0,0,3,2160,0,2002,0,Redmond,WA 98053,2014,5,715000.0,711829.4782608501
3.0,2.5,2430,10500,2.0,0,1,3,2430,0,1989,0,Bellevue,WA 98004,2014,6,1027000.0,944262.2
2.0,1.0,720,6687,1.0,0,0,3,720,0,1942,1999,Seattle,WA 98117,2014,5,329350.0,329299.93333334
4.0,2.5,2010,7226,2.0,0,0,3,2010,0,1995,0,Auburn,WA 98092,2014,5,316000.0,287736.68303571997
4.0,1.0,1120,7104,1.5,0,0,3,1120,0,1946,0,Seattle,WA 98177,2014,6,554000.0,356237.2875
2.0,1.0,780,3910,1.0,0,0,3,780,0,1918,0,Seattle,WA 98126,2014,7,380000.0,266037.1110368
2.0,1.0,830,26329,1.0,1,3,4,830,0,1928,0,Vashon,WA 98070,2014,6,385000.0,298364.25
3.0,2.75,1310,7300,1.0,0,0,3,1310,0,1957,2000,Bellevue,WA 98008,2014,6,0.0,437392.49999999
3.0,1.0,1050,5402,1.5,0,0,4,1050,0,1906,1990,Seattle,WA 98144,2014,5,339950.0,434541.8125
4.0,2.0,1520,6200,1.5,0,0,3,1520,0,1945,2010,Seattle,WA 98115,2014,5,640000.0,451205.86000001
3.0,1.5,1470,7200,2.0,0,0,4,1470,0,1907,0,Seattle,WA 98118,2014,6,590300.0,494337.53333333996
1.0,0.75,370,1801,1.0,0,0,5,370,0,1923,0,Seattle,WA 98117,2014,7,276000.0,292195.0
3.0,2.5,1480,1663,2.0,0,0,3,1180,300,2012,1912,Seattle,WA 98126,2014,5,341000.0,492555.1666666666
4.0,1.75,2330,4000,2.0,0,0,5,1300,1030,1924,1956,Seattle,WA 98105,2014,5,840000.0,685806.15428571
3.0,1.75,2410,8944,1.0,0,0,4,1860,550,1967,0,Renton,WA 98058,2014,6,415000.0,372890.63055555
3.0,2.5,1920,15124,2.0,0,0,3,1920,0,1995,0,North Bend,WA 98045,2014,5,429000.0,379802.93714285997
5.0,3.5,3690,11928,2.0,0,0,3,2540,1150,2006,0,Sammamish,WA 98074,2014,6,437500.0,771677.5462069
4.0,2.5,2720,10006,2.0,0,0,3,2720,0,1989,0,Sammamish,WA 98074,2014,7,594950.0,661727.82272728
5.0,3.75,5330,6000,2.0,0,2,3,3570,1760,2006,0,Issaquah,WA 98027,2014,5,950000.0,558944.1
6.0,2.75,2520,9324,1.0,0,0,4,1320,1200,1962,0,Lake Forest Park,WA 98155,2014,6,410000.0,450922.86
4.0,3.75,2930,3200,1.5,0,0,5,2130,800,1925,0,Seattle,WA 98119,2014,6,1100000.0,859672.30333333
3.0,1.0,1620,30736,1.5,0,0,4,1620,0,1911,1977,Bellevue,WA 98006,2014,5,346750.0,486106.91666666
2.0,2.25,2550,6000,2.0,0,0,5,1860,690,1902,0,Seattle,WA 98115,2014,6,660000.0,792593.5
5.0,3.75,5340,10655,2.5,0,3,4,3740,1600,1912,1989,Seattle,WA 98144,2014,5,195000.0,680815.02
3.0,3.25,1730,1229,2.0,0,2,3,1320,410,2008,0,Seattle,WA 98119,2014,5,645000.0,543112.30000001
2.0,1.0,840,4239,1.0,0,0,3,840,0,1948,1994,Seattle,WA 98136,2014,6,325000.0,386977.97695157
3.0,1.5,1420,8580,1.0,0,0,3,1420,0,1962,2003,Federal Way,WA 98023,2014,5,136500.0,201201.47
4.0,2.5,2570,9000,1.0,0,0,4,1590,980,1979,0,Federal Way,WA 98023,2014,6,287500.0,356017.0
4.0,2.5,1980,6660,2.0,0,0,4,1980,0,1974,0,Kirkland,WA 98034,2014,7,463000.0,460536.6142857599
4.0,2.75,2000,5827,2.0,0,0,3,2000,0,1997,0,Maple Valley,WA 98038,2014,6,236000.0,316216.3775
3.0,2.5,1720,8755,1.0,0,0,3,1000,720,1983,2009,Federal Way,WA 98023,2014,6,275000.0,253573.01160714
3.0,2.5,1800,5761,2.0,0,0,4,1800,0,1990,0,Seattle,WA 98106,2014,5,408200.0,475347.27
4.0,1.75,1730,8320,1.0,0,0,3,1230,500,1977,2004,Federal Way,WA 98023,2014,5,258000.0,227974.54666666
3.0,2.5,3170,12750,2.0,0,0,3,2360,810,1995,0,Federal Way,WA 98023,2014,6,405000.0,524486.33
3.0,3.0,4120,60392,2.0,0,2,3,3180,940,1994,0,Carnation,WA 98014,2014,5,560000.0,721002.5
2.0,1.0,1230,3800,1.0,0,0,3,1230,0,1928,1954,Seattle,WA 98115,2014,6,435000.0,470833.91071429
2.0,1.0,1250,8100,1.0,0,0,4,1250,0,1947,1988,Seattle,WA 98125,2014,6,365000.0,330135.1
3.0,1.0,1700,8645,1.0,0,0,3,1700,0,1955,2005,Seattle,WA 98146,2014,5,149000.0,484274.42
3.0,2.75,2470,10125,2.0,0,0,3,2470,0,1960,2012,Mercer Island,WA 98040,2014,6,970500.0,811275.0
3.0,2.5,2200,1970,2.0,0,0,3,1610,590,2008,0,Seattle,WA 98102,2014,5,1050000.0,511519.2933333333
4.0,3.5,2690,6164,2.0,0,0,3,2690,0,2002,0,Sammamish,WA 98075,2014,6,699850.0,663964.2263636399
3.0,1.75,1480,2185,2.5,0,0,3,1480,0,2005,0,Kirkland,WA 98033,2014,5,620000.0,467220.37857143
3.0,2.0,1980,2674,3.0,0,0,3,1980,0,2007,0,Seattle,WA 98136,2014,6,435000.0,519964.95
3.0,1.75,1270,8100,1.0,0,0,3,880,390,1950,2005,Burien,WA 98146,2014,6,346000.0,227373.78208333
4.0,2.5,2330,9928,2.0,0,0,3,2330,0,1998,2006,North Bend,WA 98045,2014,6,471000.0,422668.30666667
2.0,2.5,1240,2689,2.0,0,0,3,1240,0,1986,0,Federal Way,WA 98003,2014,6,174500.0,245898.87
5.0,1.75,2460,6846,1.5,0,0,5,1340,1120,1911,1984,Seattle,WA 98108,2014,6,445000.0,597616.46285713
4.0,2.75,2310,4020,3.0,0,0,5,2310,0,1979,0,Seattle,WA 98122,2014,7,890000.0,600866.205
3.0,2.5,2200,11000,2.0,0,2,3,2200,0,1978,0,Bellevue,WA 98008,2014,7,580000.0,643647.66666666
3.0,2.0,1840,4750,1.0,0,0,5,1010,830,1951,0,Seattle,WA 98117,2014,5,730001.0,547887.81
3.0,2.5,2070,12708,2.0,0,0,3,2070,0,1996,0,Newcastle,WA 98056,2014,6,560000.0,471851.01071428997
4.0,3.25,3090,6744,2.0,0,4,3,3090,0,2013,1923,Shoreline,WA 98177,2014,5,850000.0,632092.54166667
4.0,2.5,1890,7867,2.0,0,0,3,1890,0,1996,0,Maple Valley,WA 98038,2014,6,355000.0,316560.46428571
4.0,2.5,2190,11500,1.0,0,0,4,1430,760,1972,0,Bellevue,WA 98006,2014,6,699900.0,603329.58333333
3.0,2.5,3290,6830,2.0,0,0,3,3290,0,2000,0,Redmond,WA 98052,2014,6,930000.0,760487.62111111
5.0,3.5,3490,9680,2.0,0,4,3,2460,1030,1980,0,Shoreline,WA 98177,2014,6,941500.0,595661.08
4.0,2.5,2683,40386,2.0,0,0,4,2683,0,1987,0,Redmond,WA 98052,2014,6,681965.78125,717792.55838511
3.0,1.75,2000,9900,1.0,0,2,4,1480,520,1957,2001,Normandy Park,WA 98166,2014,6,440000.0,345694.35
3.0,1.0,1560,14333,1.0,0,0,4,1560,0,1953,1983,Normandy Park,WA 98166,2014,6,387500.0,340836.33888889
4.0,2.5,2650,11520,2.0,0,0,3,2110,540,1988,2000,Kirkland,WA 98033,2014,6,720000.0,713666.0475
4.0,2.5,1980,5909,2.0,0,0,3,1980,0,2003,0,Kent,WA 98031,2014,6,307550.0,286261.21517857997
5.0,1.0,1870,7800,1.0,0,0,3,1580,290,1962,2003,Seattle,WA 98168,2014,7,262000.0,370266.88
4.0,2.5,2380,7066,2.0,0,0,4,2380,0,1997,0,Kent,WA 98031,2014,5,268971.875,350825.13
3.0,1.75,2360,7291,1.0,0,0,4,1360,1000,1948,0,Seattle,WA 98136,2014,5,615000.0,584774.21714284
3.0,1.5,1300,7200,1.0,0,0,5,1300,0,1960,0,Kirkland,WA 98033,2014,7,625000.0,504890.1537927499
3.0,2.5,1790,7167,2.0,0,0,3,1790,0,1989,0,Sammamish,WA 98074,2014,5,515000.0,551853.8
3.0,2.0,2080,11375,1.0,0,0,3,2080,0,2002,0,Enumclaw,WA 98022,2014,6,342500.0,310913.73642858
1.0,0.75,430,5050,1.0,0,0,2,430,0,1912,0,Carnation,WA 98014,2014,5,80000.0,170953.37777778
3.0,1.0,1150,5100,2.0,0,0,3,1150,0,1911,2005,Seattle,WA 98136,2014,6,500000.0,448710.0
3.0,2.5,1580,1161,2.0,0,0,3,1010,570,2008,0,Seattle,WA 98112,2014,5,525000.0,570331.4384615399
2.0,1.0,760,3001,1.0,0,0,3,760,0,1913,1983,Seattle,WA 98144,2014,5,300000.0,340962.11321071
6.0,2.5,3820,53173,1.0,0,0,4,2040,1780,1974,0,Issaquah,WA 98027,2014,6,611000.0,599374.0
3.0,2.5,1270,1180,3.0,0,0,3,1270,0,2001,0,Seattle,WA 98107,2014,5,445700.0,455575.76
2.0,2.5,2290,3507,2.0,0,0,3,2290,0,2005,0,Issaquah,WA 98029,2014,7,630000.0,645765.8
4.0,2.5,2810,11120,2.0,0,0,3,2810,0,1982,0,Sammamish,WA 98074,2014,6,675000.0,658292.03636364
3.0,2.0,1410,7998,1.0,0,0,4,1410,0,1940,2001,Tukwila,WA 98178,2014,6,220000.0,253968.37
3.0,2.0,1430,3480,1.0,0,0,3,980,450,1947,2012,Seattle,WA 98103,2014,6,450000.0,523251.40666667
3.0,1.75,1880,10032,1.0,0,0,4,1880,0,1984,0,Bellevue,WA 98006,2014,7,486445.833333,571213.93
3.0,2.25,1640,11050,1.0,0,0,4,1640,0,1972,0,Renton,WA 98059,2014,5,352000.0,314180.94444444
2.0,2.5,2410,102366,1.0,0,0,4,1940,470,1912,1989,Fall City,WA 98024,2014,7,600000.0,534291.24999998
4.0,1.75,2120,4650,1.0,0,1,3,1190,930,1951,1994,Seattle,WA 98117,2014,5,582000.0,516570.75
3.0,2.25,2200,16921,2.0,0,0,3,2200,0,1987,2000,Maple Valley,WA 98038,2014,5,410000.0,373394.33357143
3.0,3.5,1820,1501,2.0,0,0,3,1430,390,2014,0,Seattle,WA 98144,2014,5,499950.0,516834.26666666666
3.0,2.5,2510,5400,2.0,0,0,3,2510,0,1992,0,Renton,WA 98056,2014,5,550000.0,488587.68555556
3.0,2.5,1790,2700,2.0,0,0,3,1790,0,2010,0,Issaquah,WA 98027,2014,5,509900.0,534789.26
1.0,0.75,420,6720,1.0,0,0,3,420,0,1922,2008,Seattle,WA 98108,2014,6,280000.0,108896.63425926
3.0,2.25,1580,39189,1.0,0,0,3,1180,400,1992,0,Redmond,WA 98053,2014,6,425000.0,520872.4714286399
3.0,1.0,1040,6535,1.0,0,0,3,1040,0,1947,2012,Seattle,WA 98168,2014,5,225000.0,352199.32
3.0,2.0,2300,13418,1.0,0,0,3,1430,870,1955,2005,Bellevue,WA 98004,2014,7,610000.0,851215.7
6.0,3.75,4000,6015,2.0,0,2,3,3080,920,2004,2003,Renton,WA 98058,2014,7,570000.0,694000.80923077
3.0,1.75,1200,9085,1.0,0,0,4,1200,0,1968,0,Federal Way,WA 98023,2014,7,228950.0,232083.31208333
4.0,3.75,3860,5474,2.5,0,0,3,3860,0,2007,0,Issaquah,WA 98029,2014,5,1051000.0,841678.26
3.0,2.5,1490,8102,2.0,0,0,4,1490,0,1990,0,Covington,WA 98042,2014,7,220600.0,182269.63285714
2.0,1.0,930,7550,1.0,0,0,3,930,0,1986,0,SeaTac,WA 98168,2014,6,230000.0,207077.49999997005
4.0,2.25,1790,7203,1.0,0,0,4,1110,680,1973,0,Lake Forest Park,WA 98155,2014,6,430000.0,394012.52
3.0,1.5,1020,9072,1.0,0,0,3,920,100,1930,1997,Seattle,WA 98115,2014,6,489000.0,295918.4575
3.0,2.5,1520,4170,2.0,0,0,3,1520,0,2004,2003,Maple Valley,WA 98038,2014,7,296475.0,285838.1666666633
4.0,2.0,1800,2970,1.0,0,0,4,1000,800,1923,0,Seattle,WA 98115,2014,6,415000.0,582949.1266666501
4.0,2.25,2590,10002,1.0,0,0,4,1340,1250,1968,0,Kenmore,WA 98028,2014,5,452000.0,465021.7
4.0,2.25,2210,9371,2.0,0,0,4,2210,0,1968,0,Kent,WA 98032,2014,6,305000.0,297879.93714285
3.0,2.5,2970,11985,1.0,0,0,3,1770,1200,1995,0,Sammamish,WA 98074,2014,5,525000.0,624013.29642894
4.0,2.5,2160,6223,2.0,0,0,3,2160,0,2010,0,Maple Valley,WA 98038,2014,5,383000.0,323834.5
5.0,2.25,2060,8632,1.0,0,0,3,1030,1030,1962,2003,Burien,WA 98146,2014,5,255000.0,285491.75
3.0,1.0,970,7742,1.0,0,0,4,970,0,1967,0,Federal Way,WA 98003,2014,6,219900.0,210209.0
5.0,2.5,2540,3832,2.0,0,0,5,1760,780,1929,0,Seattle,WA 98117,2014,5,620000.0,852136.0
3.0,1.75,1720,5899,1.0,0,1,3,1220,500,1986,0,Seattle,WA 98136,2014,6,514000.0,458449.24333335995
3.0,1.5,1310,8160,1.0,0,0,3,1310,0,1950,2005,Seattle,WA 98133,2014,5,365000.0,331591.05
3.0,1.75,1650,12940,1.0,0,0,4,1650,0,1961,2001,Kenmore,WA 98028,2014,5,438000.0,367264.125
5.0,2.5,2240,7543,1.0,0,0,3,1140,1100,1966,1963,Shoreline,WA 98177,2014,6,469000.0,413995.05285714
2.0,2.25,1060,1208,2.0,0,0,3,940,120,2005,0,Seattle,WA 98102,2014,6,499950.0,459145.0
3.0,2.0,2080,3880,1.0,0,0,5,1160,920,1954,0,Seattle,WA 98117,2014,6,700000.0,521681.925
2.0,1.0,720,5040,1.0,0,0,3,720,0,1955,2005,Seattle,WA 98106,2014,5,205000.0,255575.46538461998
2.0,1.0,1050,2542,1.0,0,0,3,880,170,1904,0,Seattle,WA 98122,2014,6,650000.0,414919.72
4.0,2.5,1982,6406,2.0,0,0,3,1982,0,2004,2003,Kent,WA 98030,2014,5,283200.0,291295.69821428997
2.0,1.5,1480,7276,1.0,0,0,4,940,540,1978,2000,Renton,WA 98056,2014,6,269500.0,294915.50277778
3.0,2.25,3020,43560,2.0,0,0,3,2720,300,1969,2010,Bellevue,WA 98005,2014,6,955000.0,851159.9525
3.0,2.5,1660,1545,2.0,0,2,3,1400,260,2002,0,Seattle,WA 98109,2014,6,700000.0,563440.51111112
4.0,3.75,4610,40202,1.0,0,0,4,2500,2110,1980,0,Issaquah,WA 98027,2014,6,630000.0,765642.26
3.0,1.0,1080,21043,1.0,0,0,3,1080,0,1942,1999,Seattle,WA 98106,2014,5,210000.0,256579.3775
3.0,1.75,1990,5560,1.0,0,0,4,1100,890,1939,1989,Seattle,WA 98105,2014,6,763101.0,506974.79000001
4.0,2.75,2414,7693,2.0,0,0,3,2414,0,2006,0,Auburn,WA 98002,2014,6,292000.0,315564.5
3.0,1.0,1390,6000,1.0,0,0,3,1390,0,1954,2005,Renton,WA 98056,2014,7,230000.0,250802.95230769002
4.0,2.5,2000,13300,1.0,0,0,4,1200,800,1968,0,Auburn,WA 98001,2014,5,290000.0,299498.28857143
4.0,2.0,2060,5000,1.0,0,0,3,1030,1030,1949,2013,Seattle,WA 98117,2014,5,612500.0,531292.03846154
5.0,3.0,2430,8000,1.0,0,0,4,1370,1060,1957,2001,Bellevue,WA 98008,2014,6,506000.0,639752.1
3.0,2.5,1260,889,3.0,0,0,3,1260,0,2008,0,Seattle,WA 98109,2014,5,479000.0,459767.66666667
4.0,3.25,2400,29252,2.0,0,0,4,2400,0,1982,2011,Woodinville,WA 98072,2014,5,585000.0,564506.64
2.0,1.75,1740,5400,1.0,0,0,4,990,750,1946,1989,Seattle,WA 98115,2014,6,452000.0,523643.28888889
6.0,2.0,2150,4505,1.0,0,0,3,1270,880,1952,2008,Seattle,WA 98119,2014,5,755000.0,516423.4
3.0,1.75,1900,5520,1.0,0,0,3,1280,620,1982,0,Seattle,WA 98118,2014,5,385000.0,415408.33
3.0,1.0,1090,3264,1.0,0,0,4,1090,0,1969,0,Auburn,WA 98092,2014,6,152000.0,209461.88888889
3.0,1.0,1920,6862,1.0,0,2,3,1120,800,1952,2008,Seattle,WA 98118,2014,5,325000.0,474028.0888889
3.0,1.0,1070,6109,1.0,0,0,5,1070,0,1951,0,Seattle,WA 98125,2014,5,337000.0,400882.5
5.0,4.5,4850,40902,2.0,0,0,3,4850,0,2001,0,Federal Way,WA 98023,2014,5,569950.0,777805.0
4.0,1.0,1170,8147,1.5,0,0,3,1170,0,1959,1989,Seattle,WA 98125,2014,7,350000.0,286805.205
3.0,2.0,1470,1691,2.0,0,0,3,1000,470,2007,0,Seattle,WA 98115,2014,5,540000.0,472345.39888889
4.0,2.75,4140,24190,2.0,0,0,3,4140,0,2002,0,Auburn,WA 98092,2014,6,657500.0,670859.75
4.0,2.5,1540,1870,2.0,0,0,3,1540,0,2014,0,Issaquah,WA 98029,2014,7,484998.0,478095.3
2.0,1.5,1570,3600,1.5,0,2,4,1320,250,1906,1990,Seattle,WA 98119,2014,7,782000.0,605491.35
3.0,3.5,2440,3427,2.0,0,0,3,1990,450,2000,0,Bellevue,WA 98005,2014,6,710000.0,758637.3125
3.0,2.75,2600,5875,1.5,0,2,5,1600,1000,1929,0,Seattle,WA 98116,2014,6,805000.0,779310.8485714201
5.0,3.5,3480,36615,2.0,0,0,4,2490,990,1983,0,Issaquah,WA 98075,2014,5,0.0,720273.3611111001
3.0,2.5,1930,7214,2.0,0,0,3,1930,0,2005,0,Seattle,WA 98125,2014,6,530000.0,445616.025
3.0,2.5,2150,7484,2.0,0,0,3,2150,0,1988,2000,Sammamish,WA 98074,2014,5,368250.0,566042.76
3.0,1.75,1790,7650,1.0,0,3,3,1790,0,1978,0,Federal Way,WA 98023,2014,6,299950.0,336978.43999999
2.0,1.0,1200,9000,1.0,0,2,5,1200,0,1917,0,Des Moines,WA 98198,2014,6,255000.0,208302.0
2.0,1.0,800,4850,1.0,0,0,4,800,0,1944,0,Seattle,WA 98107,2014,5,440000.0,359449.15117058
2.0,2.5,750,1430,2.0,0,0,3,750,0,2006,0,Seattle,WA 98122,2014,5,375000.0,341686.85
3.0,3.25,1980,2850,3.0,0,0,3,1980,0,1987,2000,Seattle,WA 98103,2014,6,660000.0,559190.9
3.0,2.0,1350,11805,1.0,0,0,3,1350,0,1986,0,Duvall,WA 98019,2014,6,325000.0,319197.39652777003
3.0,2.25,1630,3817,2.0,0,0,3,1630,0,2005,0,Issaquah,WA 98029,2014,6,497000.0,481639.67777778
3.0,2.5,2770,9136,2.0,0,0,3,2770,0,1991,0,Bellevue,WA 98006,2014,5,860000.0,793869.3125
3.0,1.75,1180,10541,1.0,0,0,4,940,240,1981,0,Sammamish,WA 98074,2014,5,385000.0,347324.35625
2.0,1.0,820,4320,1.0,0,0,3,820,0,1937,1999,Seattle,WA 98106,2014,7,102500.0,274709.3269230999
4.0,3.5,4040,50479,2.0,0,0,3,4040,0,1987,2000,Woodinville,WA 98077,2014,6,910000.0,733570.18
3.0,1.75,2290,14800,1.0,0,0,3,1620,670,1965,1993,Lake Forest Park,WA 98155,2014,6,470000.0,436108.86047618004
3.0,2.25,1910,3481,2.0,0,0,3,1910,0,2009,0,Kent,WA 98031,2014,7,293000.0,291295.39125
3.0,2.5,1850,4597,2.0,0,0,3,1850,0,2003,0,Covington,WA 98042,2014,5,254000.0,298841.19
3.0,2.25,1320,1800,2.0,0,0,3,1320,0,1994,0,Seattle,WA 98122,2014,7,540000.0,486485.28698412003
3.0,1.0,1340,15600,1.0,0,0,4,1340,0,1978,2000,Kent,WA 98042,2014,5,124740.0,226721.74
3.0,1.75,2430,9133,1.0,0,0,4,1410,1020,1978,2000,Renton,WA 98059,2014,6,335000.0,413251.11666666
5.0,2.5,2340,6000,2.0,0,0,4,2340,0,1922,0,Seattle,WA 98144,2014,6,1085000.0,668858.62
4.0,3.5,4220,196817,2.0,0,0,3,4220,0,1993,0,Auburn,WA 98092,2014,5,799950.0,786217.62
2.0,1.0,700,5200,1.0,0,0,5,700,0,1952,1998,Renton,WA 98056,2014,5,155000.0,197323.63
4.0,2.5,3160,11380,2.0,0,0,3,3160,0,1983,2009,Sammamish,WA 98074,2014,5,645000.0,717892.02436783
3.0,2.5,1440,7741,1.0,0,0,4,1000,440,1983,0,Kent,WA 98031,2014,5,265000.0,254380.99335316
4.0,2.5,2030,3974,2.0,0,0,3,2030,0,1994,0,Issaquah,WA 98029,2014,6,544000.0,522564.64
4.0,2.75,2880,4000,1.5,0,0,3,2100,780,1912,2000,Seattle,WA 98144,2014,6,755000.0,860988.0
